,BirthYear,DeathYear,MovieAvgRating,Age of Actors
0,1878.0,1951.0,5.5,73.0
1,1859.0,1940.0,5.5,81.0
2,1859.0,1940.0,5.5,81.0
3,1875.0,1933.0,5.5,58.0
4,1834.0,1928.0,5.5,94.0
5,1863.0,1950.0,5.2,87.0
6,1866.0,1933.0,5.2,67.0
7,1863.0,1917.0,5.2,54.0
8,1863.0,1957.0,5.2,94.0
9,1858.0,1918.0,5.2,60.0
10,,,5.2,
11,1852.0,1918.0,5.2,66.0
12,1862.0,1926.0,6.2,64.0
13,1863.0,1943.0,6.2,80.0
14,1888.0,1950.0,6.2,62.0
15,1890.0,1981.0,6.2,91.0
16,,,6.2,
17,,,6.2,
18,,,6.2,
19,,,6.2,
20,1884.0,1939.0,,55.0
21,1884.0,1939.0,,55.0
22,,,,
23,,,,
24,1863.0,1920.0,,57.0
25,1875.0,1923.0,,48.0
26,,,6.3,
27,1870.0,1929.0,6.3,59.0
28,1871.0,,6.3,
29,1888.0,1950.0,6.3,62.0
30,1868.0,1933.0,6.3,65.0
31,1868.0,1933.0,6.3,65.0
32,1879.0,,6.3,
33,1871.0,1955.0,6.3,84.0
34,1876.0,1961.0,6.3,85.0
35,,,6.3,
36,,,6.3,
37,1826.0,1915.0,5.1,89.0
38,,,5.1,
39,,,5.1,
40,,,5.1,
41,,,5.1,
42,1861.0,1917.0,5.1,56.0
43,1861.0,1917.0,5.1,56.0
44,,,5.1,
45,,,5.1,
46,,,5.1,
47,1564.0,1616.0,3.1,52.0
48,1874.0,1920.0,3.1,46.0
49,1869.0,1944.0,3.1,75.0
50,1889.0,1955.0,3.1,66.0
51,1547.0,1616.0,4.9,69.0
52,,,4.9,
53,,,4.1,
54,,1968.0,4.1,
55,,,4.1,
56,1791.0,1865.0,4.1,74.0
57,1856.0,1919.0,5.9,63.0
58,1856.0,1919.0,5.9,63.0
59,1870.0,1911.0,5.9,41.0
60,,,5.9,
61,,,5.9,
62,1862.0,1918.0,5.9,56.0
63,1862.0,1918.0,5.9,56.0
64,,,5.9,
65,,,5.9,
66,,,6.9,
67,,,6.9,
68,1866.0,1938.0,4.9,72.0
69,1890.0,1960.0,4.9,70.0
70,,,,
71,1880.0,1961.0,,81.0
72,,,,
73,1880.0,1961.0,,81.0
74,1883.0,1940.0,,57.0
75,1874.0,1955.0,,81.0
76,,,,
77,1890.0,1980.0,,90.0
78,1884.0,1939.0,,55.0
79,1884.0,1939.0,,55.0
80,1878.0,1956.0,,78.0
81,1878.0,1956.0,,78.0
82,1874.0,1955.0,,81.0
83,1874.0,1955.0,,81.0
84,1870.0,1929.0,5.0,59.0
85,1869.0,1926.0,5.0,57.0
86,1878.0,1952.0,5.0,74.0
87,1873.0,1941.0,5.0,68.0
88,1880.0,1968.0,5.0,88.0
89,1868.0,1910.0,5.0,42.0
90,1840.0,1902.0,5.0,62.0
91,1875.0,1915.0,5.0,40.0
92,,,5.0,
93,,,5.0,
94,,,,
95,1874.0,1955.0,,81.0
96,1874.0,1955.0,,81.0
97,1874.0,1955.0,,81.0
98,1874.0,1955.0,,81.0
99,,,,
