Genre,TVSeriesAvgRating
Action,7.032260516979221
Adult,5.766666666666667
Adventure,7.169453207150363
Animation,6.97170252572497
Biography,7.340509259259259
Comedy,6.812937801932394
Crime,7.1333250988142325
Documentary,7.3396687370600135
Drama,7.072524060850701
Family,6.885594609360771
Fantasy,7.06849680170576
Game-Show,5.869195111672997
History,7.448219735503558
Horror,6.982846371347782
Music,6.606799007444182
Musical,6.633740831295843
Mystery,7.255427372836924
News,6.250325732899019
Reality-TV,6.1584658126254
Romance,6.795751062234449
Sci-Fi,7.0346563981042705
Short,7.013621794871797
Sport,7.132552870090643
Talk-Show,6.20006832934746
Thriller,7.095272727272724
War,7.494137353433842
Western,7.642971887550196
